[07:07:29] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[07:07:29] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[07:07:29] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/createoneblock/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[07:07:37] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[07:07:40] [main/INFO]: Loaded 7 recipes
[07:07:40] [main/INFO]: Loaded 1271 advancements
[07:07:41] [Server thread/INFO]: Starting minecraft server version 1.20.1
[07:07:41] [Server thread/INFO]: Loading properties
[07:07:41] [Server thread/INFO]: Default game type: SURVIVAL
[07:07:41] [Server thread/INFO]: Generating keypair
[07:07:41] [Server thread/INFO]: Starting Minecraft server on *:25565
[07:07:41] [Server thread/INFO]: Using epoll channel type
[07:07:41] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[07:07:41] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[07:07:41] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[07:07:41] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[07:07:41] [Server thread/INFO]: Preparing level "world"
[07:07:53] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[07:07:54] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:54] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:55] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:55] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:55] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:56] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:56] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:57] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:57] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:58] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:58] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:59] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:07:59] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:00] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:00] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:01] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:02] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:02] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:02] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:03] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:03] [Worker-Main-7/INFO]: Preparing spawn area: 0%
[07:08:04] [Worker-Main-7/INFO]: Preparing spawn area: 0%
